Place,2020 Total Population,,,
Mount Chase town,187,,,
Newburgh town,1595,,,
Newport town,3133,,,
North Penobscot UT,405,,,
Old Town city,7431,,,
Orono town,11183,,,
Orrington town,3812,,,
Passadumkeag town,356,,,
Patten town,881,,,
Penobscot Indian Island Reservation,370,,,
Plymouth town,1325,,,
Prentiss UT,169,,,
Seboeis plantation,40,,,
Springfield town,293,,,
Stacyville town,380,,,
Stetson town,1186,,,
Twombly Ridge UT,0,,,
Veazie town,1814,,,
Webster plantation,68,,,
Whitney UT,6,,,
Winn town,399,,,
Woodville town,201,,,
Abbot town,650,,,
Beaver Cove town,133,,,
Blanchard UT,91,,,
Bowerbank town,136,,,
Brownville town,1139,,,
Dover-Foxcroft town,4422,,,
Greenville town,1437,,,
Guilford town,1267,,,
Kingsbury plantation,28,,,
Lake View plantation,150,,,
Medford town,230,,,
Milo town,2251,,,
Monson town,609,,,
Northeast Piscataquis UT,304,,,
Northwest Piscataquis UT,134,,,
Parkman town,747,,,
Sangerville town,1306,,,
Sebec town,665,,,
Shirley town,251,,,
Southeast Piscataquis UT,487,,,
Wellington town,229,,,
Willimantic town,134,,,
Arrowsic town,477,,,
Bath city,8766,,,
Bowdoin town,3136,,,
Bowdoinham town,3047,,,
Georgetown town,1058,,,
Perkins UT,0,,,
Phippsburg town,2155,,,
Richmond town,3522,,,
Topsham town,9560,,,
West Bath town,1910,,,
Woolwich town,3068,,,
Anson town,2291,,,
Athens town,952,,,
Bingham town,866,,,
Brighton plantation,62,,,
Cambridge town,443,,,
Canaan town,2193,,,
Caratunk town,81,,,
Central Somerset UT,336,,,
Cornville town,1317,,,
Dennistown plantation,61,,,
Detroit town,885,,,
Embden town,902,,,
Fairfield town,6484,,,
Harmony town,825,,,
Hartland town,1705,,,
Highland plantation,52,,,
Jackman town,782,,,
Madison town,4726,,,
Mercer town,709,,,
Moose River town,188,,,
Moscow town,475,,,
New Portland town,765,,,
Norridgewock town,3278,,,
Northeast Somerset UT,367,,,
Northwest Somerset UT,41,,,
Palmyra town,1924,,,
Pittsfield town,3908,,,
Pleasant Ridge plantation,85,,,
Ripley town,484,,,
St. Albans town,2045,,,
Seboomook Lake UT,23,,,
Skowhegan town,8620,,,
Smithfield town,925,,,
Solon town,978,,,
Starks town,593,,,
The Forks plantation,48,,,
West Forks plantation,58,,,
Belfast city,6938,,,
Belmont town,976,,,
Brooks town,1010,,,
Burnham town,1096,,,
Frankfort town,1231,,,
Freedom town,711,,,
Islesboro town,583,,,
Jackson town,610,,,
Knox town,811,,,
Liberty town,934,,,
Lincolnville town,2312,,,
Monroe town,931,,,
Montville town,1020,,,
Morrill town,971,,,
Northport town,1550,,,
Palermo town,1570,,,
Prospect town,698,,,
Searsmont town,1400,,,
Searsport town,2649,,,
Stockton Springs town,1533,,,
Swanville town,1377,,,
Thorndike town,774,,,
Troy town,1018,,,
Unity town,2292,,,
Waldo town,795,,,
Winterport town,3817,,,
Addison town,1148,,,
Alexander town,525,,,
Baileyville town,1318,,,
Baring plantation,201,,,
Beals town,443,,,
Beddington town,60,,,
Calais city,3079,,,
Charlotte town,337,,,
Cherryfield town,1107,,,
Codyville plantation,13,,,
Columbia town,435,,,
Columbia Falls town,476,,,
Cooper town,168,,,
Crawford town,93,,,
Cutler town,524,,,
Danforth town,587,,,
Deblois town,74,,,
Dennysville town,300,,,
East Central Washington UT,724,,,
East Machias town,1326,,,
Eastport city,1288,,,
Grand Lake Stream plantation,125,,,
Harrington town,962,,,
Jonesboro town,579,,,
Jonesport town,1245,,,
Lubec town,1237,,,
Machias town,2060,,,
Machiasport town,962,,,
Marshfield town,528,,,
Meddybemps town,139,,,
Milbridge town,1375,,,
Northfield town,178,,,
North Washington UT,505,,,
Passamaquoddy Indian Township Reservation,760,,,
Passamaquoddy Pleasant Point Reservation,692,,,
Pembroke town,788,,,
Perry town,802,,,
Princeton town,745,,,
Robbinston town,539,,,
Roque Bluffs town,296,,,
Steuben town,1129,,,
Talmadge town,70,,,
Topsfield town,179,,,
Vanceboro town,102,,,
Waite town,66,,,
Wesley town,122,,,
Whiting town,482,,,
Whitneyville town,202,,,
Acton town,2671,,,
Alfred town,3073,,,
Arundel town,4264,,,
Berwick town,7950,,,
Biddeford city,22552,,,
Buxton town,8376,,,
Cornish town,1508,,,
Dayton town,2129,,,
Eliot town,6717,,,
Hollis town,4745,,,
Kennebunk town,11536,,,
Kennebunkport town,3629,,,
Kittery town,10070,,,
Lebanon town,6469,,,
Limerick town,3188,,,
Limington town,3892,,,
Lyman town,4525,,,
Newfield town,1648,,,
North Berwick town,4978,,,
Ogunquit town,1577,,,
Old Orchard Beach town,8960,,,
Parsonsfield town,1791,,,
Saco city,20381,,,
Sanford city,21982,,,
Shapleigh town,2921,,,
South Berwick town,7467,,,
Waterboro town,7936,,,
Wells town,11314,,,
York town,13723,,,
